state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,account_duration,total_calls,total_min,avg_usage
ID,85,no,yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False,mid-term,304,566.5999999999999,1.863815789473684
VT,93,no,no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False,mid-term,346,538.5,1.55635838150289
VA,76,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,False,short-term,239,568.2,2.377405857740586
TX,73,no,no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,False,short-term,252,576.7,2.288492063492064
FL,147,no,no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False,mid-term,343,603.5999999999999,1.7597667638483963
CO,77,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True,short-term,274,441.9,1.6127737226277372
AZ,130,no,no,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,False,mid-term,289,437.70000000000005,1.5145328719723186
SC,111,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,mid-term,310,437.3,1.4106451612903226
VA,132,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False,mid-term,273,563.3,2.063369963369963
NE,174,no,no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False,long-term,303,652.1,2.152145214521452
WY,57,no,yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False,short-term,342,586.8,1.7157894736842103
MT,54,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False,short-term,241,391.9,1.6261410788381743
MO,20,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False,short-term,295,629.7,2.134576271186441
HI,49,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,short-term,316,513.0999999999999,1.6237341772151896
IL,142,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False,mid-term,306,472.0,1.542483660130719
NH,75,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False,short-term,310,673.8,2.173548387096774
LA,172,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False,long-term,314,536.5,1.7085987261146496
AZ,12,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,short-term,327,782.2,2.3920489296636087
OK,57,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False,short-term,285,585.3,2.0536842105263156
GA,72,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False,short-term,253,590.1,2.332411067193676
AK,36,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,short-term,317,438.1,1.382018927444795
MA,78,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False,short-term,288,582.3,2.0218749999999996
AK,136,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False,mid-term,312,493.2,1.5807692307692307
NJ,149,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False,mid-term,294,600.5,2.042517006802721
GA,98,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False,mid-term,322,480.90000000000003,1.4934782608695654
MD,135,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True,mid-term,270,499.2,1.8488888888888888
AR,34,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False,short-term,258,718.5,2.7848837209302326
ID,160,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False,mid-term,279,429.6,1.5397849462365591
WI,64,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False,short-term,271,645.1,2.3804428044280446
OR,59,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False,short-term,305,497.0,1.6295081967213114
MI,65,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,short-term,360,508.59999999999997,1.4127777777777777
DE,142,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False,mid-term,334,563.8,1.6880239520958082
ID,119,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,mid-term,322,533.5999999999999,1.6571428571428568
WY,97,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False,mid-term,272,421.0,1.5477941176470589
IA,52,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False,short-term,291,698.5,2.4003436426116838
IN,60,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False,short-term,301,680.7,2.2614617940199335
VA,10,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,short-term,235,659.0999999999999,2.8046808510638295
UT,96,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False,mid-term,252,656.2,2.603968253968254
WY,87,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,mid-term,326,574.6,1.7625766871165645
IN,81,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False,short-term,250,695.0,2.78
CO,141,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False,mid-term,288,447.7,1.5545138888888888
CO,121,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True,mid-term,283,454.9,1.6074204946996467
WI,68,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,short-term,337,525.1,1.558160237388724
OK,125,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False,mid-term,324,596.0,1.8395061728395061
ID,174,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False,long-term,245,528.6,2.1575510204081634
CA,116,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False,mid-term,331,613.1,1.8522658610271905
MN,74,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,short-term,279,577.8,2.0709677419354837
SD,149,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False,mid-term,209,634.0,3.0334928229665072
NC,38,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False,short-term,301,453.1,1.5053156146179403
WA,40,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False,short-term,264,531.7,2.0140151515151516
WY,43,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False,short-term,276,622.1,2.253985507246377
MN,113,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False,mid-term,351,460.90000000000003,1.3131054131054132
UT,126,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False,mid-term,210,582.0,2.7714285714285714
TX,150,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,mid-term,311,496.6,1.5967845659163988
NJ,138,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False,mid-term,280,707.6,2.527142857142857
MN,162,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False,mid-term,242,667.7,2.7590909090909093
NM,147,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False,mid-term,277,570.0,2.0577617328519855
NV,90,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False,mid-term,368,582.5,1.5828804347826086
HI,85,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,mid-term,302,581.2,1.9245033112582783
MN,50,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False,short-term,273,561.8,2.0578754578754577
DC,82,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,mid-term,282,751.4000000000001,2.664539007092199
NY,144,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True,mid-term,301,311.7,1.0355481727574751
MN,46,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,short-term,289,556.0,1.9238754325259515
MD,70,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False,short-term,276,554.0,2.0072463768115942
WV,144,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False,mid-term,292,728.6,2.495205479452055
OR,116,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False,mid-term,292,698.7,2.3928082191780824
CO,55,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False,short-term,308,477.4,1.5499999999999998
GA,70,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,short-term,267,731.9,2.7411985018726592
TX,106,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,mid-term,269,651.1999999999999,2.4208178438661707
VT,128,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,mid-term,268,728.2,2.717164179104478
IN,94,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,mid-term,290,502.5,1.7327586206896552
WV,111,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,mid-term,292,605.2,2.0726027397260274
KY,74,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,short-term,245,479.6,1.9575510204081634
NJ,128,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,mid-term,286,694.4,2.427972027972028
DC,82,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,mid-term,260,448.4,1.7246153846153844
LA,155,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,mid-term,323,590.3,1.8275541795665633
AR,80,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,short-term,269,550.5,2.046468401486989
ME,78,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,short-term,310,695.2,2.2425806451612904
AZ,90,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,mid-term,243,497.4,2.0469135802469136
AK,104,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,mid-term,356,522.5999999999999,1.4679775280898875
MT,73,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,short-term,254,547.5,2.155511811023622
AZ,99,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,mid-term,276,596.4,2.160869565217391
MS,120,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,mid-term,331,588.7,1.7785498489425984
ID,77,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,short-term,307,732.7,2.3866449511400654
IA,98,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,mid-term,289,573.5999999999999,1.98477508650519
MA,108,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,mid-term,315,496.4,1.5758730158730159
VT,135,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,mid-term,287,450.7,1.570383275261324
KY,95,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,mid-term,307,563.9000000000001,1.8368078175895768
IN,122,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,mid-term,278,592.8,2.1323741007194243
AZ,95,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,mid-term,278,615.3,2.2133093525179857
MI,36,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,short-term,291,670.8,2.3051546391752575
NM,93,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,mid-term,332,499.4,1.5042168674698795
CO,141,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,mid-term,330,499.1,1.5124242424242424
UT,157,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,mid-term,319,619.1,1.9407523510971787
MI,120,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False,mid-term,269,601.4,2.2356877323420075
MA,103,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False,mid-term,302,631.1,2.0897350993377484
AL,98,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False,mid-term,343,579.5999999999999,1.6897959183673468
DE,125,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False,mid-term,312,580.5,1.8605769230769231
AZ,63,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,short-term,272,439.9,1.6172794117647058
ME,36,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,short-term,337,590.0,1.7507418397626113
NJ,64,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False,short-term,314,372.4,1.1859872611464968
NV,74,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,short-term,277,672.4,2.427436823104693
MO,112,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False,mid-term,317,448.79999999999995,1.4157728706624604
ID,97,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,mid-term,317,597.9000000000001,1.886119873817035
NE,46,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,False,short-term,285,637.6,2.2371929824561403
TX,41,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False,short-term,311,497.8,1.6006430868167203
MD,121,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False,mid-term,323,595.0,1.8421052631578947
MS,193,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False,long-term,308,416.1,1.350974025974026
NV,130,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,False,mid-term,334,491.79999999999995,1.4724550898203592
AZ,85,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,False,mid-term,262,683.3,2.6080152671755723
MS,162,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True,mid-term,277,383.0,1.3826714801444044
MS,61,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True,short-term,356,559.8,1.5724719101123594
TX,92,no,no,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False,mid-term,299,460.4,1.5397993311036788
NE,131,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False,mid-term,334,640.5999999999999,1.9179640718562871
NE,90,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,False,mid-term,329,510.1,1.5504559270516718
CA,75,no,no,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,short-term,291,581.2,1.9972508591065294
NJ,78,no,no,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False,short-term,375,722.8,1.9274666666666664
TX,82,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False,mid-term,258,607.6,2.3550387596899225
AR,163,no,no,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False,long-term,317,606.0,1.911671924290221
AL,91,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False,mid-term,325,550.4000000000001,1.6935384615384619
NY,75,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False,short-term,337,630.8,1.8718100890207714
FL,91,no,no,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,False,mid-term,348,608.8,1.7494252873563216
AK,127,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,False,mid-term,264,573.3,2.171590909090909
NV,113,no,yes,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False,mid-term,220,515.6,2.3436363636363637
DE,110,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,False,mid-term,311,618.5,1.9887459807073955
MD,120,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False,mid-term,281,674.5,2.400355871886121
MI,157,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False,mid-term,320,497.8,1.555625
VT,103,no,no,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False,mid-term,227,642.5,2.8303964757709252
VT,117,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True,mid-term,305,594.0,1.9475409836065574
MI,140,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False,mid-term,293,502.4,1.7146757679180886
WA,127,no,no,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,mid-term,279,553.6,1.9842293906810036
UT,83,yes,no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False,mid-term,318,608.9,1.9147798742138364
LA,121,no,no,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,mid-term,322,561.5,1.7437888198757765
RI,145,no,yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,False,mid-term,278,706.6999999999999,2.5420863309352515
IA,113,no,no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False,mid-term,291,587.5,2.0189003436426116
NE,117,no,no,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,mid-term,315,608.5,1.9317460317460318
OH,65,no,no,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,short-term,319,572.8,1.7956112852664576
RI,56,no,no,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,False,short-term,372,615.0,1.653225806451613
OK,96,no,no,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,False,mid-term,248,675.9,2.7254032258064513
LA,151,no,no,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,False,mid-term,355,736.7,2.075211267605634
OH,83,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True,mid-term,350,718.6999999999999,2.0534285714285714
VA,139,no,yes,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,False,mid-term,337,663.8,1.9697329376854598
MO,6,no,no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,short-term,268,618.9,2.309328358208955
FL,115,no,yes,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,False,mid-term,367,490.3,1.3359673024523162
SC,87,no,no,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,False,mid-term,306,446.0,1.457516339869281
VA,141,no,no,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,False,mid-term,324,712.1,2.1978395061728397
IA,141,no,yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,False,mid-term,320,658.4,2.0575
MI,62,no,no,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,False,short-term,307,470.9,1.5338762214983712
OK,146,no,no,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,False,mid-term,331,522.0999999999999,1.5773413897280963
DE,92,no,yes,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,False,mid-term,288,685.5999999999999,2.380555555555555
GA,185,no,yes,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,False,long-term,385,617.9000000000001,1.604935064935065
DC,148,no,no,0,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,False,mid-term,320,706.5,2.2078125
AZ,94,no,yes,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,False,mid-term,313,469.29999999999995,1.499361022364217
AL,32,no,no,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False,short-term,230,572.3,2.488260869565217
CO,68,no,no,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56,1,False,short-term,289,558.0,1.930795847750865
NH,64,no,yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False,short-term,275,516.5,1.8781818181818182
NM,25,no,no,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False,short-term,274,599.7,2.1886861313868615
OR,65,no,no,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False,short-term,330,478.1,1.448787878787879
LA,179,no,no,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,False,long-term,321,613.3,1.9105919003115264
NE,94,no,no,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2,False,mid-term,335,592.5,1.7686567164179106
MN,62,no,no,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,False,short-term,313,532.7,1.7019169329073485
MI,127,no,no,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False,mid-term,302,626.7,2.0751655629139076
AR,116,no,no,0,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,16.2,10,4.37,3,False,mid-term,281,575.6,2.0483985765124557
KS,70,no,no,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0.0,0,0.0,3,False,short-term,346,725.5999999999999,2.097109826589595
WV,94,yes,yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,False,mid-term,364,693.8,1.906043956043956
AK,126,no,no,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,True,mid-term,303,333.7,1.1013201320132013
